id,gen,ht,wt,imb,age,cirw,cirth,cirn
168,0,164,62,23052,26,76,100,36
169,1,168,70,24802,28,81,98,35
170,1,161,54,20833,38,72,90,35
171,1,167,53,19004,36,65,94,31
172,1,167,73,26175,32,88,108,38
173,1,166,77,27943,52,89,110,37
174,1,174,74,24442,37,88,103,36
175,1,160,60,23438,24,74,98,34
176,1,161,45,17360,23,59,86,30
177,1,168,59,20904,26,72,96,32
178,1,167,57,20438,34,73,94,33
179,1,169,62,21708,34,69,87,33
180,1,159,58,22942,25,70,100,32
181,0,187,98,28025,27,95,107,43
182,1,,,,18,,,
183,1,156,50,20546,33,72,92,35
184,1,,,,18,,,
185,1,168,84,29762,38,96,116,34
186,1,,,,18,,,
187,1,174,70,23121,25,73,101,36
188,1,177,56,17875,21,73,92,31
189,1,164,70,26026,44,86,108,37
190,1,159,53,20964,44,64,93,33
191,1,170,89,30796,39,94,115,36
192,1,168,64,22676,37,72,104,34
193,1,167,55,19721,23,65,93,35
194,1,165,55,20202,28,75,86,34
195,1,160,54,21094,22,65,95,31
196,1,172,69,23323,32,74,106,32
197,1,159,57,22547,49,69,97,31
198,1,162,76,28959,28,77,114,36
199,1,171,68,23255,26,80,100,37
200,1,170,76,26298,35,76,106,37
201,1,164,64,23795,39,73,100,35
202,1,160,66,25781,42,81,101,34
203,1,160,65,25391,42,82,99,35
204,0,175,54,17633,22,70,60,34
205,1,158,60,24035,40,81,100,36
206,1,165,56,20569,23,70,97,35
207,1,165,58,21304,31,68,92,33
208,1,176,105,33897,51,99,125,39
209,1,0,0,0,18,0,0,0
210,1,175,80,26122,25,86,108,36
211,1,172,56,18929,33,63,90,33
212,1,163,63,23712,40,73,97,37
213,1,160,61,23828,45,73,88,33
214,0,178,78,24618,22,87,101,39
215,1,164,81,30116,39,88,113,37
216,1,160,86,33594,50,107,117,42
217,1,160,56,21875,37,73,97,34
218,1,168,106,37557,50,113,134,40
219,1,165,62,22773,41,72,94,38
220,0,178,71,22409,31,76,100,37
221,0,170,75,25952,28,82,100,42
222,1,160,75,29297,39,93,110,37
223,0,178,76,23987,42,78,100,38
224,0,176,91,29378,31,105,100,40
225,0,186,96,27749,33,96,113,44
226,0,175,68,22204,35,77,92,38
227,1,164,66,24539,50,83,103,37
228,1,154,54,22769,28,72,96,35
229,1,165,51,18733,24,62,90,33
230,1,168,59,20904,22,68,96,34
231,1,157,61,24747,29,87,97,34
232,0,176,85,27441,34,88,106,40
233,0,178,80,25249,28,88,102,40
234,0,159,62,24524,52,82,80,37
235,1,164,58,21565,26,76,94,34
236,1,164,69,25654,31,82,100,37
237,1,170,60,20761,40,75,92,33
238,1,167,60,21514,35,73,98,32
239,1,0,0,0,18,0,0,0
240,0,186,106,30639,36,108,114,41
241,0,170,80,27682,40,99,102,41
